text,address,time,link,price
Vé Máy Bay Một Chiều Sài Gòn - Phú Yên (Tặng 20kg hành lý ký gửi),https://travel.com.vn/tourNDSGN515-020-060619VJ-H-8/ve-may-bay-mot-chieu-sai-gon-phu-yen-tang-20kg-hanh-ly-ky-gui.aspx,"  Khởi hành: 06/06/2019 06:30
                            ",https://travel.com.vn/Images/destination/tf_190111033056_245440.jpg,"
                                1,200,000 đ
                            "
"Phú Quốc - Bãi Sao - Thiền Viện Trúc Lâm Hộ Quốc - Thử Tài Câu Cá (Khách Sạn 3*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN815-033-060619VJ-D-O/phu-quoc-bai-sao-thien-vien-truc-lam-ho-quoc-thu-tai-cau-ca-khach-san-3sao,-tour-tieu-chuan.aspx","  Khởi hành: 06/06/2019 09:35
                            ",https://travel.com.vn/Images/destination/tf_180418042451_917741.jpg,"
                                4,990,000 đ
                            "
"Miền Tây - Bạc Liêu - Nhà Thờ Cha Diệp - Đất Mũi Cà Mau - Cần Thơ  (Khách sạn 4*&5*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN845-022-070619XE-D/mien-tay-bac-lieu-nha-tho-cha-diep-dat-mui-ca-mau-can-tho-khach-san-4sao-5sao,-tour-tieu-chuan.aspx","  Khởi hành: 07/06/2019 04:30
                            ",https://travel.com.vn/Images/destination/tf_151023_miet-vuon.jpg,"
                                2,890,000 đ
                            "
Hà Nội - Sapa - Chinh phục nóc nhà Đông Dương Fansipan (Tour Tiết Kiệm) ,https://travel.com.vn/tourNDSGN191-020-070619VJ-V-1/ha-noi-sapa-chinh-phuc-noc-nha-dong-duong-fansipan-tour-tiet-kiem-.aspx,"  Khởi hành: 07/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_171201053510_273366.jpg,"
                                6,590,000 đ
                            "
Hà Nội - Sapa - Chinh phục nóc nhà Đông Dương Fansipan (Tour Tiết Kiệm) ,https://travel.com.vn/tourNDSGN191-020-070619VJ-V/ha-noi-sapa-chinh-phuc-noc-nha-dong-duong-fansipan-tour-tiet-kiem-.aspx,"  Khởi hành: 07/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_171201053510_273366.jpg,"
                                6,190,000 đ
                            "
Đà Nẵng - Bà Nà - Cầu Vàng - Hội An - La Vang - Động Phong Nha - Huế (Khách sạn 4* 2 đêm . Tour tiêu chuẩn),https://travel.com.vn/tourNDSGN367-016-070619VJ-D-7/da-nang-ba-na-cau-vang-hoi-an-la-vang-dong-phong-nha-hue-khach-san-4sao-2-dem-tour-tieu-chuan.aspx,"  Khởi hành: 07/06/2019 05:35
                            ",https://travel.com.vn/Images/destination/tf_190321095955_350055.JPG,"
                                7,990,000 đ
                            "
Huế - La Vang - Động Phong Nha & Thiên Đường - Bà Nà - Cầu Vàng - Hội An - Đà Nẵng (Khách sạn 4*&5*. Tặng Show Ký Ức Hội An. Tour Tiêu Chuẩn) - Hè Trọn Niềm Vui,https://travel.com.vn/tourNDSGN395-006-070619VJ-D/hue-la-vang-dong-phong-nha-thien-duong-ba-na-cau-vang-hoi-an-da-nang-khach-san-4sao-5sao-tang-show-ky-uc-hoi-an-tour-tieu-chuan-he-tron-niem-vui.aspx,"  Khởi hành: 07/06/2019 06:00
                            ",https://travel.com.vn/Images/destination/tf_190308103817_935338.jpg,"
                                8,590,000 đ
                            "
,http://travellifevn.vn/None,Thời gian: 2 ngày 1 đêm,,
,http://travellifevn.vn/None,Thời gian: 2 ngày 1 đêm,,
,http://travellifevn.vn/None,Thời gian: 2 ngày 1 đêm,,
,http://travellifevn.vn/None,Thời gian: 2 ngày 1 đêm,,
TOUR VŨNG TÀU - HỒ TRÀM,http://travellifevn.vn//tour-trong-nuoc/city-tour-ho-chi-minh/tour-vung-tau-ho-tram.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/ho-tram_400x400.jpg,1.986.000 đ
TP. HCM - CÙ LAO CÂU - CỔ THẠCH - ĐỒI CÁT BAY - SEA LINK,http://travellifevn.vn//tour-trong-nuoc/tour-mien-trung/phan-thiet/tp-hcm-cu-lao-cau-co-thach-doi-cat-bay-sea-link.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/bai-co-thach-phan-thiet--900x600_400x400.jpg,2.750.000 đ
DU LỊCH LỄ HỘI PHÁO HOA ĐÀ NẴNG [ĐÀ NẴNG  - HỘI AN - CÙ LAO CHÀM - BÀ NÀ],http://travellifevn.vn//tour-trong-nuoc/tour-mien-trung/da-nang/du-lich-le-hoi-phao-hoa-da-nang-da-nang-hoi-an-cu-lao-cham-ba-na.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/da-nang1_400x400.jpg,5.779.000 đ
TOUR CÁI BÈ - KHU DU LỊCH VINH SANG VĨNH LONG,http://travellifevn.vn//tour-trong-nuoc/tour-mien-nam/tour-cai-be-khu-du-lich-vinh-sang-1-ngay.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/738du-lich-mien-tay3_400x400.jpg,Liên hệ
LỄ HỘI PHÁO HOA ĐÀ NẴNG ( ĐÀ NẴNG – CÙ LAO CHÀM- BÀ NÀ - HỘI AN - HUẾ ),http://travellifevn.vn//tour-trong-nuoc/tour-mien-trung/da-nang/hanh-trinh-di-san-da-nang-ba-na-hoi-an-hue.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/phaohoadanang_400x400.jpg,5.100.000 đ
DU LỊCH ĐẢO BÌNH HƯNG 2 NGÀY 2 ĐÊM,http://travellifevn.vn//tour-trong-nuoc/tour-bien-dao/du-lich-dao-binh-hung-2-ngay-2-dem.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/hinh-2-1_400x400.jpg,1.490.000 đ
TP. HỒ CHÍ MINH - CẦN THƠ - CÀ MAU - BẠC LIÊU,http://travellifevn.vn//tour-trong-nuoc/tour-mien-nam/tour-dat-mui-ca-mau-3-ngay-2-dem.html,Thời gian: 2 ngày 1 đêm,/images/stories/virtuemart/product/resized/mui-ca-mau_400x400.jpg,2.568.000 đ
